City Id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country,Hotel Name
1214488,Meulaboh,4.1363,96.1285,298.16,89,92,1.6,1653079673,ID,Hotel Tiara Meulaboh
1714733,Dingle,10.9995,122.6711,298.25,91,100,1.93,1653079913,PH,Vaccinated Staff - OYO 236 Hotel Edmundo
1275812,Bhuj,23.2667,69.6667,299.75,82,0,8.83,1653079914,IN,Click Hotel Bhuj
3374120,Vila do Maio,15.1333,-23.2167,296.59,86,13,6.38,1653079915,CV,Cabo Verde Casa - Maio Vacanze
2396518,Port-Gentil,-0.7193,8.7815,300.13,83,75,5.14,1653079915,GA,Hotel Tara-Mé
1106643,Quatre Cocos,-20.2078,57.7625,297.64,72,72,7.16,1653079916,MU,The Residence Mauritius
2381972,Adrar,20.5022,-10.0711,306.2,7,87,3.25,1653079916,MR,No Hotel nearby
1819729,Hong Kong,22.2855,114.1577,299.23,82,9,0.45,1653079808,HK,Four Seasons Hotel Hong Kong
3576994,Cockburn Town,21.4612,-71.1419,300.17,83,98,7.97,1653079919,TC,The Salt Raker Inn
4639848,Maryville,35.7565,-83.9705,306.4,46,20,8.23,1653079871,US,Quality Inn
3407882,Altamira,-3.2033,-52.2064,302.2,70,75,1.03,1653079921,BR,Hotel Bela Vista
1045114,Inhambane,-23.865,35.3833,296.31,87,100,4.86,1653079923,MZ,Hotel Casa Do Capitão
2136697,Lakatoro,-16.0999,167.4164,300.24,82,11,2.82,1653079924,VU,Lakatoro Palm Lodge
1623197,Tual,-5.6667,132.75,301.77,69,15,8.02,1653079925,ID,Grand Vilia Hotel
1224061,Wattegama,6.7989,81.4808,297.95,78,52,3.56,1653079925,LK,Maha Gedara
1266122,Korba,22.35,82.6833,303.02,31,8,2.31,1653079927,IN,Hotel Deendayal
930629,Chipoka,-13.9933,34.5157,296.78,65,100,0.3,1653079927,MW,The Cichlids Lodge
3691954,Sechura,-5.5569,-80.8222,297.78,58,25,7.12,1653079928,PE,Hotel Maximus Inn-Sechura
1179515,Duki,30.1541,68.5728,299.81,10,0,6.32,1653079928,PK,Bhari Dada Kaka Hotel
2413419,Gunjur,13.2019,-16.7339,298.19,83,0,5.66,1653079930,GM,"Footsteps Eco Lodge, The Gambia"
1266029,Kotapārh,19.15,82.35,300.19,70,100,4.09,1653079930,IN,Glaze Hotel And Resorts
3404558,Cabedelo,-6.9811,-34.8339,301.52,80,65,3.62,1653079931,BR,Formosa Apart Hotel
3394372,Morros,-9.4467,-46.3003,297.35,44,28,2.48,1653079931,BR,No Hotel nearby
2541479,Nador,35.174,-2.9287,294.29,88,100,2.06,1653079932,MA,Hôtel Lixus
1033356,Nampula,-15.1165,39.2666,295.12,88,0,2.57,1653079933,MZ,Hotel Lurio
1861416,Ishigaki,24.3448,124.1572,296.22,94,100,3.6,1653079933,JP,Super Hotel Ishigakijima
5354943,Half Moon Bay,37.4636,-122.4286,300.67,24,0,6.69,1653079934,US,Half Moon Bay Inn
2278158,Buchanan,5.8808,-10.0467,298.71,88,98,4.34,1653079994,LR,Philipmena's Guest House
2274895,Monrovia,6.3005,-10.7969,298.86,87,100,4.76,1653079994,LR,Bella Casa
3395981,Maceió,-9.6658,-35.7353,297.84,83,75,1.54,1653079956,BR,Pousada Alagoana
2448083,Agadez,19.75,10.25,302.86,19,5,4.54,1653079996,NE,No Hotel nearby
6201197,Muhafazat Lahij,13.1667,44.5833,303.23,31,2,2.75,1653079998,YE,صالة الجزيرة
5962442,Goderich,43.7501,-81.7165,298.33,65,81,8.75,1653079998,CA,Colborne Bed and Breakfast
1279068,Aland,17.5667,76.5667,298.33,79,100,5.14,1653079999,IN,Taj Hotel
1337619,Ugoofaaru,5.6667,73.0,301.55,77,91,6.34,1653080000,MV,Ungoofaaru Inn
2427336,Moussoro,13.6408,16.4901,307.41,9,4,7.38,1653080001,TD,No Hotel nearby
2415702,Siguiri,11.6667,-9.5,304.29,38,67,1.24,1653080002,GN,HÔTEL CENTRE D’ACCUEIL
5850554,Makakilo City,21.3469,-158.0858,299.92,83,75,1.54,1653080003,US,Embassy Suites by Hilton Oahu Kapolei
3674702,Miranda,3.2499,-76.2281,298.22,82,86,0.06,1653080005,CO,Hotel El Pedregal
1631393,Prabumulih,-3.45,104.25,296.9,97,99,0.64,1653080005,ID,HOTEL & RESTORAN AGUNG
3512128,Bajos de Haina,18.4154,-70.0332,305.11,70,40,5.14,1653079975,DO,Dominican Fiesta Hotel & Casino Santo Domingo
3402648,Carutapera,-1.195,-46.02,296.97,93,100,1.44,1653080007,BR,Center Hotel
3697441,El Alto,-4.2714,-81.2147,294.96,77,22,7.88,1653080011,PE,"Hotel ""El Merlin"" Cabo Blanco"
244878,Biltine,14.5333,20.9167,305.55,10,4,5.22,1653080012,TD,Hôtel Trois Étoiles de Biltine
1214073,Rantauprapat,2.1,99.8333,296.36,99,100,0.4,1653080012,ID,Hotel Suzuya Plaza
6316343,Alta Floresta,-9.8756,-56.0861,303.05,32,0,1.54,1653079870,BR,Lisboa Palace Hotel
4003938,Jiménez,28.3333,-105.4,306.8,5,0,4.86,1653080013,MX,Hotel Hacienda Las Marías
3397763,Jacareacanga,-6.2222,-57.7528,299.75,65,1,0.96,1653080032,BR,Zé Prata
364027,Wagar,16.1525,36.2032,305.75,19,50,3.58,1653080037,SD,No Hotel nearby
2311968,Nioki,-2.7167,17.6833,295.21,99,100,0.95,1653080076,CD,No Hotel nearby
2374583,Bubaque,11.2833,-15.8333,299.4,80,7,8.85,1653080076,GW,Apart Hotel New Neguen
2381334,Atar,20.5169,-13.0499,305.96,18,95,3.52,1653080077,MR,Oumou Elghoura
5392171,San Jose,37.3394,-121.895,299.77,24,20,6.17,1653079764,US,Hotel De Anza
1626542,Sorong,-0.8833,131.25,298.44,87,78,2.97,1653080078,ID,Hotel Mariat Sorong
3866163,Alta Gracia,-31.6529,-64.4283,295.58,35,0,1.21,1653080078,AR,Alta Gracia Hostel
4273299,Hutchinson,38.0608,-97.9298,295.23,38,0,5.66,1653079374,US,Sky-Palace Inn & Suites Hutchinson
108410,Riyadh,24.6877,46.7219,306.23,11,0,1.51,1653079824,SA,Rose garden hotel
1246294,Galle,6.0367,80.217,299.16,88,26,4.31,1653080083,LK,Dreamers Arc Hostel
5225507,Warwick,41.7001,-71.4162,297.25,71,75,5.14,1653080084,US,Best Western Airport Inn
1855540,Naze,28.3667,129.4833,295.66,93,100,8.12,1653080084,JP,Panda no negla
4787534,Sterling,39.0062,-77.4286,306.51,64,0,3.6,1653080085,US,Hampton Inn & Suites Washington-Dulles International Airport
2140558,Koumac,-20.5667,164.2833,298.28,82,4,4.22,1653080086,NC,Chez Pascal et Claudia 2
1696105,Palimbang,6.2106,124.1894,298.52,88,100,2.28,1653080087,PH,Felmar Beach resort
286245,Sur,22.5667,59.5289,305.44,44,4,6.73,1653080088,OM,Sur Hotel
4231997,Avera,33.194,-82.5271,307.34,27,100,5.15,1653080089,US,Boss's RV Park
149812,Sokoni,-6.4333,39.55,299.52,77,100,5.3,1653080091,TZ,Eden Rock Zanzibar
3661980,Tarauacá,-8.1614,-70.7656,301.66,58,75,0.84,1653080091,BR,PRO LINK HOTEL
3401963,Colinas,-6.0258,-44.2492,294.48,94,100,0.39,1653080091,BR,Pousada Alvorada
4007676,Pueblo Nuevo,23.3833,-105.3833,297.73,21,0,4.32,1653080092,MX,Molinillos Mountain Resort
3622193,Quepos,9.4236,-84.1652,300.36,77,63,2.89,1653079830,CR,Boutique Hotel Las Cascadas The Falls
