City Id,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date
2090021,Namatanai,-3.6667,152.4333,299.92,81,37,2.7,1653079763
3923570,Atocha,-20.9333,-66.2333,281.91,18,97,6.54,1653079764
1256369,Sidhi,24.4167,81.8833,306.05,16,68,1.23,1653079764
3359638,Walvis Bay,-22.9575,14.5053,285.98,71,0,3.09,1653079764
3445418,Vazante,-17.9869,-46.9078,288.57,44,0,0.14,1653079743
3388847,São Félix do Xingu,-6.6447,-51.995,297.59,74,46,0.66,1653079765
5742974,North Bend,43.4065,-124.2243,290.88,75,0,10.8,1653079513
2630299,Hofn,64.2539,-15.2082,281.86,94,100,4.56,1653079765
2629833,Husavik,66.0449,-17.3389,284.25,66,91,3.34,1653079766
2122090,Pevek,69.7008,170.3133,273.66,97,79,2.45,1653079766
1810240,Gejiu,23.306,103.1635,286.38,98,100,0.93,1653079767
4362001,Mayo,38.8876,-76.5119,306.58,72,20,4.63,1653079767
2112309,Katsuura,35.1333,140.3,292.54,80,100,3.67,1653079565
2123814,Leningradskiy,69.3833,178.4167,273.85,98,25,3.03,1653079767
3836669,San Rafael,-34.6177,-68.3301,291.0,22,23,6.45,1653079768
1106677,Bambous Virieux,-20.3428,57.7575,297.71,83,40,3.6,1653079768
1258492,Rangia,26.4667,91.6333,297.12,92,42,4.24,1653079769
3393692,Itarema,-2.9248,-39.9167,298.97,85,100,2.98,1653079769
3839307,Rawson,-43.3002,-65.1023,290.57,36,11,7.58,1653079769
2112802,Hasaki,35.7333,140.8333,291.37,75,100,4.37,1653079770
3421193,Paamiut,61.994,-49.6678,274.98,84,97,3.71,1653079830
2039557,Khasan,42.4308,130.6434,285.21,81,8,1.74,1653079831
2120048,Ust-Nera,64.5667,143.2,275.84,84,100,2.41,1653079831
1337607,Kudahuvadhoo,2.6708,72.8944,301.64,76,23,5.44,1653079831
2126785,Belaya Gora,68.5333,146.4167,281.54,65,7,5.28,1653079832
2258378,Loandjili,-4.7561,11.8578,298.32,81,80,4.13,1653079832
551047,Kerchevskiy,59.946,56.2884,274.98,98,100,2.05,1653079833
64814,Bandarbeyla,9.4942,50.8122,300.05,85,100,9.63,1653079833
3141667,Roald,62.5833,6.1333,285.46,87,0,5.66,1653079833
14177,Maku,39.2911,44.4521,280.83,54,37,2.69,1653079834
2063039,Port Keats,-14.25,129.55,295.92,56,5,3.66,1653079834
3389822,Salinópolis,-0.6136,-47.3561,297.93,88,100,4.39,1653079835
470905,Vuktyl,63.8567,57.3094,274.56,69,100,6.33,1653079835
2537881,Safi,32.2994,-9.2372,292.12,91,11,1.98,1653079835
561731,Gay,51.4666,58.4552,280.44,94,100,3.54,1653079836
3664980,Boa Vista,2.8197,-60.6733,302.14,70,40,2.57,1653079614
1213855,Sibolga,1.7427,98.7792,298.31,89,76,1.22,1653079836
2022003,Kizhinga,51.8462,109.9097,284.33,56,52,0.65,1653079836
197745,Garissa,-0.4536,39.6401,298.14,78,100,8.16,1653079837
2031405,Erdenet,49.0333,104.0833,286.81,45,7,0.89,1653079837
553766,Kamenka,51.3223,42.7678,276.99,81,33,2.56,1653079837
7803723,Omemee,44.299,-78.5599,298.75,63,40,7.2,1653079838
543508,Kovdor,67.5662,30.4758,274.12,88,96,1.94,1653079838
5720495,Coos Bay,43.3665,-124.2179,291.1,74,0,10.8,1653079839
2446796,Bilma,18.6853,12.9164,305.99,13,70,3.75,1653079839
187968,Malindi,-3.2175,40.1191,299.24,82,65,5.87,1653079840
934479,Grand Gaube,-20.0064,57.6608,297.8,69,12,3.13,1653079840
2512186,Puerto del Rosario,28.5004,-13.8627,294.01,68,20,6.69,1653079841
584596,Zaqatala,41.6336,46.6433,284.41,82,75,2.06,1653079841
363619,Yei,4.095,30.6779,293.4,90,78,2.03,1653079841
5282297,Bethel,41.3712,-73.414,296.62,68,20,5.66,1653079842
204953,Tshikapa,-6.4167,20.8,298.96,56,100,0.17,1653079842
779622,Havøysund,70.9963,24.6622,278.28,91,100,4.9,1653079843
660129,Espoo,60.25,24.6667,282.44,63,0,2.57,1653079843
5859699,College,64.8569,-147.8028,294.82,34,20,1.54,1653079750
3981432,Todos Santos,23.45,-110.2167,292.84,71,0,5.17,1653079844
2270385,Camacha,33.0833,-16.3333,290.83,68,20,4.12,1653079844
1495586,Parabel',58.6978,81.4825,281.07,82,37,6.87,1653079844
2108502,Honiara,-9.4333,159.95,299.64,80,2,1.05,1653079819
1855612,Nara,34.6851,135.8049,292.31,52,100,0.27,1653079845
3899539,Antofagasta,-23.65,-70.4,288.75,70,37,3.67,1653079744
6067747,Matagami,49.7502,-77.6328,290.21,88,100,5.66,1653079845
2137773,Vao,-22.6667,167.4833,296.43,89,100,13.11,1653079846
2729907,Longyearbyen,78.2186,15.6401,274.06,69,75,1.54,1653079846
4339348,Ruston,32.5232,-92.6379,306.05,46,40,5.66,1653079788
523928,Myatlevo,54.8969,35.6762,278.78,70,100,2.95,1653079847
1490256,Talnakh,69.4865,88.3972,278.82,83,100,3.77,1653079847
211647,Lodja,-3.4833,23.4333,296.25,80,100,1.42,1653079848
159071,Iringa,-7.7667,35.7,287.72,88,95,2.54,1653079848
1803331,Linxia Chengguanzhen,35.6003,103.2064,285.65,79,100,0.7,1653079848
4726521,San Patricio,28.017,-97.5169,304.09,51,32,10.0,1653079849
1722803,Buluang,13.3068,123.3425,298.61,89,99,1.19,1653079849
3382160,Cayenne,4.9333,-52.3333,297.17,1,99,1.03,1653079850
2180815,Tuatapere,-46.1333,167.6833,280.77,82,96,8.16,1653079850
347634,Ţahţā,26.7693,31.5021,303.04,20,100,6.85,1653079850
3666395,Urrao,6.3152,-76.1342,291.05,92,92,0.87,1653079851
6111862,Port Hardy,50.6996,-127.4199,285.15,81,20,2.57,1653079851
964420,Port Elizabeth,-33.918,25.5701,287.31,97,100,3.6,1653079852
1524243,Georgiyevka,43.0369,74.7114,291.17,72,20,4.0,1653079852
463355,Zheleznodorozhnyy,55.7503,38.0042,281.05,68,100,2.29,1653079852
2094342,Kavieng,-2.5744,150.7967,300.92,78,93,4.85,1653079913
5972291,Havre-St-Pierre,50.2334,-63.5986,287.35,54,0,3.6,1653079913
2122389,Ossora,59.2353,163.0719,275.32,99,100,1.17,1653079778
1214488,Meulaboh,4.1363,96.1285,298.16,89,92,1.6,1653079673
1714733,Dingle,10.9995,122.6711,298.25,91,100,1.93,1653079913
1275812,Bhuj,23.2667,69.6667,299.75,82,0,8.83,1653079914
924705,Nkhotakota,-12.9274,34.2961,294.04,83,73,1.02,1653079914
